mmsi;lon;lat;status;turn;speed;accuracy;course;heading;second;maneuver;spare_1;raim;radio;msg_type;repeat
215126000;20.929997;-34.918882;0;-1.0;17.5;True;261.9;261;48;0;b'\x00';True;49187;1;0
374275000;24.026225;-34.801842;0;0.0;12.7;False;80.3;81;46;0;b'\x00';False;114726;1;0
636020244;9.22377;-37.819383;0;-0.0;11.2;False;85.5;82;6;0;b'\x00';False;49152;1;0
209677000;28.929197;-33.951717;0;0.0;10.0;False;263.4;260;48;0;b'\x00';False;114715;1;0
232011742;27.742528;-33.569938;0;-2.0;18.3;False;248.1;253;47;0;b'\x00';False;2219;1;0
601005500;21.440258;-35.59366;7;-128.0;4.9;False;112.7;511;48;0;b'\x00';True;26704;1;0
538008320;28.46164;-34.054603;0;0.0;11.6;False;221.5;220;49;0;b'\x00';False;81937;1;0
601245600;31.049877;-29.874172;3;0.0;0.0;False;22.0;280;46;0;b'\x00';False;100140;1;0
636018057;27.433127;-33.8326;0;0.0;19.8;False;232.7;235;42;0;b'\x00';False;67380;1;0
431888000;17.893485;-34.439647;0;0.0;16.9;False;119.4;120;44;0;b'\x00';False;34616;1;0
447017000;28.607975;-33.278472;0;2.0;15.5;False;229.0;235;49;0;b'\x00';False;26704;1;0
356505000;26.090023;-33.837917;0;0.0;7.8;True;323.2;312;49;0;b'\x00';False;82020;1;0
241478000;29.567242;-32.346225;0;2.0;14.3;False;226.5;229;42;0;b'\x00';False;67391;1;0
355036000;21.592088;-34.865307;0;0.0;11.9;False;264.6;263;37;0;b'\x00';False;81987;1;0
257389000;24.651825;-34.778037;0;-22.0;15.2;False;80.4;80;48;0;b'\x00';False;5072;3;0
636017088;26.078867;-34.265155;0;-0.0;13.4;False;69.1;68;47;0;b'\x00';False;82062;1;0
241890000;34.501127;-32.110733;0;-1.0;15.6;False;247.4;248;49;0;b'\x00';False;49158;1;0
371618000;28.35175;-33.201667;0;0.0;13.1;False;47.0;48;47;0;b'\x00';False;67430;1;0
563093300;19.793555;-35.087477;0;0.0;11.7;False;110.0;111;49;0;b'\x00';False;67437;1;0
265057000;25.673558;-34.439883;0;0.0;11.4;False;259.8;260;49;0;b'\x00';False;34678;1;0
236710000;31.123085;-32.749598;0;0.0;8.4;False;60.9;60;51;0;b'\x00';False;100222;1;0
538007145;17.851033;-34.8352;0;0.0;11.1;False;104.0;100;51;0;b'\x00';False;81956;1;0
538006959;28.691497;-33.12523;0;4.0;15.3;False;247.0;253;31;0;b'\x00';False;34704;1;0
563059600;21.755812;-35.601277;0;0.0;12.6;False;79.3;81;49;0;b'\x00';False;114688;1;0
538004316;18.192033;-34.097763;0;0.0;12.4;False;355.8;356;51;0;b'\x00';False;2287;1;0
371595000;28.036652;-34.208357;0;0.0;9.9;False;67.6;66;50;0;b'\x00';False;34717;1;0
372070000;28.926618;-33.817277;0;0.0;7.5;False;61.7;57;51;0;b'\x00';False;67489;1;0
563039700;15.23615;-31.4855;0;0.0;17.3;False;143.2;145;50;0;b'@';False;2233;1;0
265057000;25.67343;-34.439895;0;-127.0;11.5;False;261.0;260;51;0;b'\x00';False;2800;3;0
265057000;25.67343;-34.439895;0;-127.0;11.5;False;261.0;260;51;0;b'\x00';False;8848;3;0
311000398;25.530467;-34.920435;0;-4.0;5.6;False;85.9;72;54;0;b'\x00';False;2267;1;0
563153600;26.026493;-34.322158;0;-0.0;12.0;False;241.9;241;54;0;b'\x00';False;26704;1;0
636021536;29.422473;-31.9874;0;0.0;15.4;False;47.2;46;47;0;b'\x00';False;34776;1;0
538007549;25.5418;-34.29405;0;0.0;10.8;False;264.0;262;54;0;b'\x00';False;49258;1;0
372280000;30.579005;-32.901512;0;0.0;16.5;False;248.6;250;49;0;b'\x00';False;2242;1;0
563178600;19.783007;-34.937643;0;0.0;11.3;False;285.9;287;52;0;b'\x00';False;26704;1;0
257389000;24.652163;-34.777982;0;20.0;15.3;False;79.4;82;52;0;b'\x00';False;0;3;0
376485000;18.450733;-33.918827;15;0.0;0.0;False;360.0;318;53;0;b'\x00';False;26704;1;0
